ip,mac,flag
10.64.16.223,00:1a:4a:56:02:69,none
10.64.16.224,00:1a:4a:56:0d:26,perm_remote
10.64.16.225,00:1a:4a:56:e8:76,perm_remote
10.64.16.226,00:01:a4:ab:97:0b,perm_remote
10.64.16.228,00:01:a4:ab:97:0c,perm_remote
10.64.16.229,00:1a:4a:56:43:7c,perm_remote
10.64.16.230,00:1a:4a:56:e8:4a,perm_remote
10.64.16.231,00:1a:4a:56:02:7c,perm_remote
10.64.16.232,00:1a:4a:56:e1:7c,perm_remote
10.64.16.233,00:1a:4a:56:a4:6d,perm_remote
10.64.16.234,00:1a:4a:56:0d:12,perm_remote
10.64.16.235,00:1a:4a:56:e2:0a,perm_remote
10.64.16.237,00:1a:4a:56:e1:83,none
10.64.16.238,00:1a:4a:56:02:7f,none
10.64.16.241,00:1a:4a:56:e2:0b,perm_remote
10.64.16.242,00:01:a4:ab:1a:3a,none
10.64.16.243,00:1a:4a:56:5c:53,perm_remote
10.64.16.244,00:1a:4a:56:02:87,none
10.64.16.245,00:1a:4a:56:43:de,none
10.64.16.246,00:1a:4a:56:e2:4c,none
10.64.16.247,00:1a:4a:56:00:0a,perm_remote
10.64.16.248,00:1a:4a:56:e2:0e,none
10.64.16.249,00:1a:4a:56:c6:a0,perm_remote
10.64.16.250,00:1a:4a:56:e2:88,none
10.64.16.251,00:1a:4a:56:e2:89,none
10.64.16.252,00:1a:4a:56:00:07,none
10.64.16.253,00:1a:4a:56:e2:81,none
10.64.16.255,00:1a:4a:56:02:83,perm_remote
10.64.17.1,00:1a:4a:56:e2:29,perm_remote
10.64.17.2,00:01:a4:ab:93:7b,perm_remote
10.64.17.3,00:1a:4a:56:00:0b,perm_remote
10.64.17.4,00:1a:4a:56:00:08,none
10.64.17.5,00:1a:4a:56:02:90,none
10.64.17.7,00:1a:4a:56:02:8f,none
10.64.17.8,00:1a:4a:56:00:0c,perm_remote
10.64.17.9,00:1a:4a:56:e2:26,perm_remote
10.64.17.10,00:1a:4a:56:e2:38,perm_remote
10.64.17.11,00:1a:4a:56:e2:25,none
10.64.17.12,00:1a:4a:56:00:09,none
10.64.17.13,00:1a:4a:56:02:cc,none
10.64.17.14,00:01:a4:ab:93:7c,perm_remote
10.64.17.15,00:1a:4a:56:e2:28,perm_remote
10.64.17.16,00:01:a4:ab:8d:de,none
10.64.17.18,00:01:a4:ab:93:87,none
10.64.17.19,00:1a:4a:56:e2:27,perm_remote
10.64.17.20,00:1a:4a:56:e2:0c,perm_remote
10.64.17.21,00:1a:4a:56:02:ea,perm_remote
10.64.17.23,00:1a:4a:56:00:0d,perm_remote
10.64.17.24,00:1a:4a:56:02:ef,none
10.64.17.25,00:1a:4a:56:e8:7a,none
10.64.17.26,00:1a:4a:56:43:fe,perm_remote
10.64.17.27,00:1a:4a:56:a4:60,none
10.64.17.28,00:1a:4a:56:e2:27,perm_remote
10.64.17.29,00:1a:4a:56:03:15,none
10.64.17.30,00:1a:4a:56:18:42,perm_remote
10.64.17.31,00:1a:4a:56:43:8c,none
10.64.17.32,00:1a:4a:56:18:41,none
10.64.17.33,00:1a:4a:56:5c:3a,perm_remote
10.64.17.35,00:1a:4a:56:a4:5e,perm_remote
10.64.17.36,00:1a:4a:56:5c:3e,none
10.64.17.38,00:1a:4a:56:03:16,perm_remote
10.64.17.39,00:1a:4a:56:e2:26,perm_remote
10.64.17.40,00:1a:4a:56:e2:26,perm_remote
10.64.17.41,00:1a:4a:56:e2:26,perm_remote
10.64.17.42,00:1a:4a:56:e2:25,none
10.64.17.43,00:1a:4a:56:e2:25,none
10.64.17.44,00:1a:4a:56:e2:29,perm_remote
10.64.17.46,00:1a:4a:56:03:1f,perm_remote
10.64.17.48,00:1a:4a:56:03:3b,perm_remote
10.64.17.50,00:1a:4a:56:5c:0e,perm_remote
10.64.17.51,00:1a:4a:56:5c:29,none
10.64.17.52,00:1a:4a:56:18:31,perm_remote
10.64.17.53,00:1a:4a:56:5c:28,none
10.64.17.54,00:1a:4a:56:00:2e,perm_remote
10.64.17.55,00:1a:4a:56:18:32,perm_remote
10.64.17.56,00:1a:4a:56:03:3f,none
10.64.17.58,00:1a:4a:56:03:40,none
10.64.17.60,00:1a:4a:56:03:64,none
10.64.17.61,00:1a:4a:56:00:28,perm_remote
10.64.17.63,00:1a:4a:56:03:63,none
10.64.17.65,00:1a:4a:56:03:79,perm_remote
10.64.17.66,00:1a:4a:56:00:2c,none
10.64.17.67,00:1a:4a:56:03:6c,none
10.64.17.70,00:1a:4a:56:03:66,perm_remote
10.64.17.72,00:1a:4a:56:00:34,none
10.64.17.73,00:1a:4a:56:03:84,none
10.64.17.75,00:1a:4a:56:00:37,none
10.64.17.76,00:1a:4a:56:03:86,perm_remote
10.64.17.78,00:1a:4a:56:03:89,perm_remote
10.64.17.79,00:1a:4a:56:00:38,perm_remote
10.64.17.81,00:1a:4a:56:00:3a,none
10.64.17.82,00:1a:4a:56:03:8e,perm_remote
10.64.17.84,00:1a:4a:56:00:39,perm_remote
10.64.17.85,00:1a:4a:56:03:92,none
10.64.17.87,00:1a:4a:56:04:0a,perm_remote
10.64.17.89,00:1a:4a:56:00:3c,none
10.64.17.90,00:1a:4a:56:04:0e,none
10.64.17.91,00:1a:4a:56:3e:c5,perm_remote
10.64.17.93,00:1a:4a:56:04:09,none
10.64.17.94,00:1a:4a:56:43:83,none
10.64.17.95,00:1a:4a:56:43:84,none
10.64.17.96,00:01:a4:ab:53:a3,none
10.64.17.97,00:1a:4a:56:5c:f6,perm_remote
10.64.17.98,00:1a:4a:56:00:3d,none
10.64.17.101,00:1a:4a:56:02:2b,none
10.64.17.108,00:1a:4a:56:00:4f,perm_remote
10.64.17.110,00:1a:4a:56:04:35,none
10.64.17.112,00:1a:4a:56:04:36,perm_remote
10.64.17.113,00:1a:4a:56:02:0c,perm_remote
10.64.17.114,00:1a:4a:56:01:83,none
10.64.17.116,00:1a:4a:56:00:d8,perm_remote
10.64.17.117,00:1a:4a:56:00:4e,perm_remote
10.64.17.118,00:1a:4a:56:5c:e9,perm_remote
10.64.17.119,00:1a:4a:56:01:8f,perm_remote
10.64.17.120,00:1a:4a:56:c6:d7,perm_remote
10.64.17.121,00:1a:4a:56:02:24,perm_remote
10.64.17.122,00:1a:4a:56:01:90,perm_remote
10.64.17.123,00:1a:4a:56:00:54,none
10.64.17.124,00:1a:4a:56:01:b4,perm_remote
10.64.17.125,00:1a:4a:56:00:6a,perm_remote
10.64.17.126,00:1a:4a:56:01:92,none
10.64.17.127,00:1a:4a:56:04:37,perm_remote
10.64.17.128,00:1a:4a:56:00:d9,perm_remote
10.64.17.129,00:1a:4a:56:00:6b,perm_remote
10.64.17.130,00:1a:4a:56:01:62,none
10.64.17.131,00:1a:4a:56:01:99,perm_remote
10.64.17.133,00:1a:4a:56:43:b6,none
10.64.17.134,00:1a:4a:56:00:d6,perm_remote
10.64.17.135,00:1a:4a:56:c6:b6,perm_remote
10.64.17.136,00:1a:4a:56:01:64,none
10.64.17.138,00:1a:4a:56:00:dd,none
10.64.17.141,00:01:a4:ab:09:59,none
10.64.17.142,00:1a:4a:56:00:de,perm_remote
10.64.17.144,00:1a:4a:56:01:65,none
10.64.17.145,00:1a:4a:56:43:8d,none
10.64.17.146,00:1a:4a:56:00:e6,none
10.64.17.147,00:1a:4a:56:3e:aa,perm_remote
10.64.17.148,00:1a:4a:56:00:e7,none
10.64.17.149,00:1a:4a:56:00:e8,none
10.64.17.150,00:1a:4a:56:01:9a,none
10.64.17.151,00:1a:4a:56:01:6b,none
10.64.17.152,00:1a:4a:56:00:e9,none
10.64.17.153,00:1a:4a:56:01:43,perm_remote
10.64.17.154,00:1a:4a:56:00:ea,perm_remote
10.64.17.156,00:1a:4a:56:00:eb,perm_remote
10.64.17.157,00:1a:4a:56:01:6d,none
10.64.17.158,00:1a:4a:56:00:ec,perm_remote
10.64.17.159,00:1a:4a:56:01:9c,none
10.64.17.160,00:01:a4:ab:09:61,perm_remote
10.64.17.161,00:1a:4a:56:00:ed,perm_remote
10.64.17.162,00:1a:4a:56:01:6f,perm_remote
10.64.17.163,00:01:a4:ab:09:45,perm_remote
10.64.17.164,00:01:a4:ab:09:4e,none
10.64.17.165,00:01:a4:ab:09:4f,none
10.64.17.166,00:1a:4a:56:00:ee,none
10.64.17.167,00:01:a4:ab:09:49,none
10.64.17.168,00:1a:4a:56:04:38,perm_remote
10.64.17.169,00:01:a4:ab:1a:2f,perm_remote
10.64.17.170,00:1a:4a:56:00:ef,none
10.64.17.171,00:01:a4:ab:f0:56,none
10.64.17.172,00:1a:4a:56:01:70,perm_remote
10.64.17.173,00:01:a4:ab:f0:65,none
10.64.17.174,00:1a:4a:56:00:f5,perm_remote
10.64.17.175,00:01:a4:ab:f0:66,perm_remote
10.64.17.176,00:1a:4a:56:01:9d,none
10.64.17.177,00:01:a4:ab:f0:12,none
10.64.17.178,00:1a:4a:56:00:f9,none
10.64.17.179,00:01:a4:ab:f0:62,none
10.64.17.180,00:1a:4a:56:00:82,perm_remote
10.64.17.181,00:1a:4a:56:00:fe,none
10.64.17.183,00:1a:4a:56:01:01,perm_remote
10.64.17.184,00:1a:4a:56:01:0c,none
10.64.17.185,00:1a:4a:56:02:32,none
10.64.17.186,00:1a:4a:56:01:0d,none
10.64.17.188,00:1a:4a:56:01:14,none
10.64.17.190,00:1a:4a:56:01:1a,none
10.64.17.191,00:1a:4a:56:01:a3,perm_remote
10.64.17.192,00:1a:4a:56:04:21,perm_remote
10.64.17.194,00:1a:4a:56:01:e0,perm_remote
